time,rssi_rec,rssi_send,rssi_eve_rec,rssi_eve_send
507835774,-33,-42,-53,-35
507855775,-34,-42,-53,-36
507875771,-34,-41,-53,-35
507896843,-33,-42,-51,-34
507915775,-33,-40,-52,-34
507935772,-33,-42,-54,-35
507955777,-34,-42,-53,-35
507976040,-32,-42,-52,-36
507995788,-34,-42,-52,-35
508015775,-33,-42,-52,-34
508035827,-33,-40,-53,-34
508055901,-33,-42,-53,-35
508075773,-32,-40,-52,-33
508095778,-32,-41,-52,-35
508115773,-33,-41,-53,-35
508136398,-33,-42,-52,-34
508155792,-32,-41,-52,-35
508175765,-33,-41,-52,-35
508197650,-32,-40,-52,-35
508215765,-34,-41,-53,-35
508236165,-36,-41,-51,-36
508255775,-33,-41,-52,-36
508275835,-32,-40,-53,-34
508295904,-33,-41,-52,-36
508315765,-34,-40,-52,-34
508335775,-33,-38,-52,-35
508355786,-33,-40,-53,-35
